episode,timestep,reward
14,2000,-105.1944
18,4000,-90.1054
38,6000,-106.5851
41,8000,-72.0004
43,10000,-91.3717
53,12000,-97.2811
57,14000,-84.0648
64,16000,-103.7297
75,18000,-100.5345
85,20000,-103.0528
96,22000,-99.8385
110,24000,-107.6897
128,26000,-101.4337
134,28000,-99.5238
140,30000,-113.4096
143,32000,-92.7574
146,34000,-113.6641
155,36000,-96.9894
168,38000,-102.0392
173,40000,-100.3399
180,42000,-92.2237
189,44000,-101.3923
198,46000,-103.967
210,48000,-98.9325
225,50000,-102.3854
237,52000,-100.9066
245,54000,-99.854
261,56000,-102.6997
270,58000,-101.9403
289,60000,-109.7795
303,62000,-111.6287
315,64000,-105.5497
326,66000,-102.1521
335,68000,-99.0202
341,70000,-86.5601
351,72000,-112.3096
359,74000,-106.0376
368,76000,-105.9149
371,78000,-86.7409
381,80000,-110.7083
405,82000,-105.2248
420,84000,-102.1452
442,86000,-100.0765
447,88000,-95.8463
458,90000,-93.2501
463,92000,-91.6561
474,94000,-103.0407
489,96000,-104.538
506,98000,-100.1359
520,100000,-99.8103
532,102000,-112.3021
544,104000,-105.9127
555,106000,-100.3855
566,108000,-100.096
580,110000,-105.0283
583,112000,-85.8375
595,114000,-103.8385
604,116000,-100.2965
611,118000,-97.5239
632,120000,-103.6256
637,122000,-93.3891
645,124000,-98.8386
664,126000,-104.297
677,128000,-106.5589
687,130000,-104.4647
691,132000,-92.4693
697,134000,-89.5734
709,136000,-98.9804
711,138000,-57.9153
719,140000,-101.0206
737,142000,-100.0486
750,144000,-107.5299
755,146000,-90.9086
758,148000,-111.1899
769,150000,-102.7385
783,152000,-106.5593
791,154000,-91.8599
796,156000,-85.5741
803,158000,-95.2847
816,160000,-105.2788
826,162000,-100.7941
835,164000,-97.6632
843,166000,-93.212
856,168000,-98.6618
860,170000,-94.2088
881,172000,-104.0611
893,174000,-105.7435
905,176000,-92.5383
916,178000,-107.678
922,180000,-107.1571
934,182000,-102.0799
945,184000,-98.7476
960,186000,-112.4412
971,188000,-102.6562
985,190000,-102.6648
994,192000,-94.4469
1011,194000,-104.3246
